code;nombre;Número;Porcentaje total
ES.AN;Andalucía;1524;19
ES.AR;Aragón;257;3
ES.AS;Asturias, Principado de;62;1
ES.CN;Canarias;123;2
ES.CB;Cantabria;71;1
ES.CL;Castilla y León;352;4
ES.CM;Castilla-La Mancha;396;5
ES.CT;Cataluña;1878;23
ES.CE;Ceuta;1;0
ES.VC;Comunitat Valenciana;175;2
ES.EX;Extremadura;63;1
ES.GA;Galicia;232;3
ES.PM;Balears, Illes;70;1
ES.LO;Rioja, La;47;1
ES.MD;Madrid, Comunidad de;2055;25
ES.ML;Melilla;39;0
ES.MU;Murcia, Región de;96;1
ES.NA;Navarra, Comunidad Foral de;128;2
ES.PV;País Vasco;617;8
